,ID,acq-AP_run-01,acq-PA_run-01,acq-AP_run-02,acq-PA_run-02
57,010075,31.2148017883,33.4307365417,27.3004817963,26.3873786926
58,010076,43.0116539001,39.3262634277,40.0327758789,32.6822395325
59,010077,40.4078292847,46.0330924988,51.6399612427,42.5180244446
60,010078,38.5938301086,36.8307113647,43.5028648376,41.2054519653
61,010079,44.3557319641,43.8171234131,48.2977752686,49.6479644775
62,010080,45.7989120483,41.5796585083,41.7685928345,35.3502731323
63,010081,43.6466598511,,,
64,010082,45.4589538574,39.2385406494,45.6113548279,43.1443710327
65,010083,39.6507110596,31.5992908478,32.9398651123,
66,010084,38.795791626,35.4474334717,41.7180786133,35.7560424805
67,010086,45.7656784058,44.1956062317,44.1328125,38.968624115
68,010087,33.1359329224,31.9826412201,,
69,010088,35.905128479,34.7747077942,34.7298736572,34.55443573
70,010090,46.2906646729,38.0384521484,44.7322006226,36.2174530029
71,010091,28.6328239441,25.5864620209,28.8385276794,27.8446292877
72,010092,37.6278648376,39.0030517578,38.4192504883,35.3997573853
73,010093,39.806892395,32.2945594788,34.0796966553,36.2592353821
74,010094,31.7336578369,41.5380210876,42.0695114136,34.145866394
75,010096,42.551448822,31.0825157166,32.2361907959,30.2263202667
76,010097,34.4539222717,33.4198608398,36.4499549866,36.1135940552
77,010098,31.8684825897,26.8318405151,38.1261024475,31.8951911926
78,010099,44.9250259399,42.9394569397,41.3239364624,40.1917190552
79,010101,40.4570846558,37.7773857117,40.8829498291,40.905456543
80,010102,37.7390136719,36.6637535095,41.974647522,39.2436218262
81,010103,46.9104118347,38.642780304,42.1931304932,35.0445594788
82,010105,39.8743133545,31.9103832245,35.0587692261,31.2495670319
83,010106,36.1439437866,34.7735137939,36.4636154175,35.8940010071
84,010107,43.011390686,37.2311477661,40.1494369507,39.5667953491
85,010108,36.5700378418,36.9694862366,38.4866638184,37.7612457275
86,010109,41.453742981,33.211605072,42.1639823914,31.6477966309
87,010111,46.0310134888,42.9109573364,44.3178939819,34.4914627075
88,010112,43.9375038147,37.9872741699,48.8298530579,38.7931556702
89,010113,39.931854248,34.8803405762,41.9238433838,39.9445037842
90,010114,39.2645187378,32.1044158936,34.7233428955,32.8405609131
91,010115,35.7739601135,35.4879608154,39.8925056458,38.4517593384
92,010116,42.3331298828,33.4619216919,40.4806785583,38.7789573669
93,010117,41.4479751587,34.9372940063,32.8288536072,35.3198814392
94,010118,29.4332695007,25.0389137268,33.2487983704,29.4491348267
95,010119,49.2052764893,38.9593009949,48.6674613953,36.9189910889
96,010120,36.8456535339,32.7001800537,28.45911026,35.3568305969
97,010121,41.5073471069,37.1048049927,44.6202545166,40.7092208862
98,010122,32.6671218872,37.0382156372,38.1816444397,34.9602050781
99,010123,40.3601264954,36.7143478394,43.1839981079,40.1620483398
100,010124,32.9510154724,29.16157341,31.7684898376,32.1192626953
101,010125,42.9422912598,40.7304229736,47.0553321838,41.6311569214
102,010126,48.037399292,43.8637084961,43.6555404663,47.0845985413
103,010127,36.9359207153,35.6613807678,43.7089424133,40.9931983948
104,010128,44.8569755554,37.9563446045,42.0622138977,40.3423843384
105,010129,28.4312324524,25.6162452698,39.7591362,38.6041145325
106,010130,42.0898933411,41.6271286011,42.7457733154,37.0838928223
107,010131,43.1359596252,34.7138214111,42.1474533081,39.1472625732
108,010132,45.604888916,38.2505645752,44.3528671265,40.1551437378
109,010133,30.0763263702,30.8131446838,26.3713340759,
110,010135,34.4466896057,38.1136245728,42.5951156616,39.255771637
111,010136,35.8134841919,38.2350959778,40.0387611389,42.5051612854
112,010137,42.2313537598,43.2847061157,47.390663147,44.0732955933
113,010138,38.8333587646,40.1370391846,44.8193206787,35.0073890686
114,010139,37.4638977051,35.1464195251,43.5560951233,39.324344635
115,010140,40.7722320557,40.2871017456,40.0360984802,33.4344825745
116,010141,36.167098999,34.3665313721,44.1844177246,41.3379707336
117,010142,41.9674453735,38.4702072144,44.4147033691,38.3381500244
118,010143,51.2627868652,38.1512641907,43.5966300964,45.145401001
119,010144,50.1405296326,39.5857772827,38.595539093,47.770778656
120,010145,38.4515190125,40.8104896545,40.6802215576,43.7650947571
121,010146,45.7596740723,36.7913513184,46.8571853638,34.1850357056
122,010147,40.8666229248,40.0932846069,46.9797897339,41.3481292725
123,010149,40.8010215759,38.1142959595,35.9306869507,33.5500297546
124,010151,38.4385452271,33.0042114258,38.2723960876,32.0771903992
125,010152,38.4122314453,36.5634498596,42.7166061401,34.6593132019
126,010154,37.8971138,30.9029712677,37.5074386597,32.9816360474
127,010155,41.945728302,39.4831314087,37.4301834106,33.518283844
128,010157,40.7853469849,44.8441047668,41.4520988464,41.157623291
129,010158,34.5820121765,31.9423522949,38.782875061,36.2702255249
130,010159,30.7533454895,37.0578155518,37.0670471191,34.8766059875
131,010161,50.7415428162,44.5630645752,35.689994812,43.5338439941
132,010162,42.8321151733,36.4183006287,39.4041099548,42.4026565552
133,010163,45.1443367004,37.8868370056,46.945148468,45.7112846375
134,010164,44.4296379089,32.0671882629,42.0068511963,37.017326355
135,010165,40.7909545898,35.5216140747,40.9758338928,30.2072429657
136,010166,40.053276062,34.9528617859,36.9613800049,32.9749641418
137,010167,45.1297721863,40.9662666321,47.1292266846,44.1280479431
138,010168,42.1729431152,38.6308746338,40.4531517029,32.1778335571
